seccion;grupo;auxgrp;descripm
10;0;100;Grupo_1
10;1;101;Grupo_2
10;2;102;Grupo_3
10;3;103;Grupo_4
10;4;104;Grupo_5
10;5;105;Grupo_6
10;6;106;Grupo_7
10;7;107;Grupo_8
10;8;108;Grupo_9
10;9;109;Grupo_10
11;0;110;Grupo_11
11;1;111;Grupo_12
11;2;112;Grupo_13
11;3;113;Grupo_14
11;4;114;Grupo_15
11;5;115;Grupo_16
11;6;116;Grupo_17
11;7;117;Grupo_18
11;8;118;Grupo_19
11;9;119;Grupo_20
14;0;140;Grupo_21
14;1;141;Grupo_22
14;2;142;Grupo_23
14;3;143;Grupo_24
14;4;144;Grupo_25
14;5;145;Grupo_26
14;6;146;Grupo_27
14;7;147;Grupo_28
14;9;149;Grupo_29
15;0;150;Grupo_30
15;1;151;Grupo_31
15;2;152;Grupo_32
15;3;153;Grupo_33
15;4;154;Grupo_34
15;5;155;Grupo_35
15;6;156;Grupo_36
15;7;157;Grupo_37
15;8;158;Grupo_38
15;9;159;Grupo_39
20;0;200;Grupo_40
20;1;201;Grupo_41
20;2;202;Grupo_42
20;4;204;Grupo_43
21;0;210;Grupo_44
21;1;211;Grupo_45
21;2;212;Grupo_46
21;3;213;Grupo_47
21;4;214;Grupo_48
21;5;215;Grupo_49
21;6;216;Grupo_50
21;7;217;Grupo_51
21;9;219;Grupo_52
22;0;220;Grupo_53
22;1;221;Grupo_54
22;2;222;Grupo_55
22;3;223;Grupo_56
22;4;224;Grupo_57
22;5;225;Grupo_58
22;6;226;Grupo_59
22;9;229;Grupo_60
23;0;230;Grupo_61
23;1;231;Grupo_62
23;2;232;Grupo_63
23;3;233;Grupo_64
23;4;234;Grupo_65
24;0;240;Grupo_66
24;1;241;Grupo_67
24;2;242;Grupo_68
24;3;243;Grupo_69
24;4;244;Grupo_70
24;5;245;Grupo_71
24;6;246;Grupo_72
24;7;247;Grupo_73
24;8;248;Grupo_74
24;9;249;Grupo_75
26;0;260;Grupo_76
26;1;261;Grupo_77
26;2;262;Grupo_78
26;3;263;Grupo_79
26;4;264;Grupo_80
26;6;266;Grupo_81
30;0;300;Grupo_82
30;1;301;Grupo_83
30;2;302;Grupo_84
30;3;303;Grupo_85
30;4;304;Grupo_86
30;5;305;Grupo_87
30;6;306;Grupo_88
30;7;307;Grupo_89
30;8;308;Grupo_90
30;9;309;Grupo_91
31;0;310;Grupo_92
31;1;311;Grupo_93
31;2;312;Grupo_94
31;3;313;Grupo_95
31;4;314;Grupo_96
31;5;315;Grupo_97
31;6;316;Grupo_98
31;7;317;Grupo_99
31;8;318;Grupo_100
31;9;319;Grupo_101
32;0;320;Grupo_102
32;1;321;Grupo_103
32;2;322;Grupo_104
32;3;323;Grupo_105
32;4;324;Grupo_106
32;5;325;Grupo_107
32;6;326;Grupo_108
32;7;327;Grupo_109
32;8;328;Grupo_110
32;9;329;Grupo_111
33;0;330;Grupo_112
33;1;331;Grupo_113
33;2;332;Grupo_114
33;3;333;Grupo_115
33;4;334;Grupo_116
33;5;335;Grupo_117
33;6;336;Grupo_118
33;7;337;Grupo_119
33;8;338;Grupo_120
33;9;339;Grupo_121
34;0;340;Grupo_122
34;1;341;Grupo_123
34;2;342;Grupo_124
34;3;343;Grupo_125
34;4;344;Grupo_126
34;5;345;Grupo_127
34;6;346;Grupo_128
34;7;347;Grupo_129
34;8;348;Grupo_130
34;9;349;Grupo_131
35;0;350;Grupo_132
35;1;351;Grupo_133
35;2;352;Grupo_134
35;3;353;Grupo_135
35;4;354;Grupo_136
35;5;355;Grupo_137
35;6;356;Grupo_138
35;7;357;Grupo_139
35;8;358;Grupo_140
35;9;359;Grupo_141
40;0;400;Grupo_142
40;1;401;Grupo_143
40;2;402;Grupo_144
40;3;403;Grupo_145
40;4;404;Grupo_146
40;9;409;Grupo_147
41;0;410;Grupo_148
41;1;411;Grupo_149
41;2;412;Grupo_150
41;3;413;Grupo_151
41;4;414;Grupo_152
41;5;415;Grupo_153
41;6;416;Grupo_154
41;9;419;Grupo_155
42;0;420;Grupo_156
42;1;421;Grupo_157
42;2;422;Grupo_158
42;3;423;Grupo_159
42;4;424;Grupo_160
42;5;425;Grupo_161
42;6;426;Grupo_162
42;7;427;Grupo_163
42;9;429;Grupo_164
43;0;430;Grupo_165
43;1;431;Grupo_166
43;2;432;Grupo_167
43;3;433;Grupo_168
43;4;434;Grupo_169
43;5;435;Grupo_170
43;6;436;Grupo_171
43;7;437;Grupo_172
43;8;438;Grupo_173
43;9;439;Grupo_174
44;0;440;Grupo_175
44;1;441;Grupo_176
44;2;442;Grupo_177
44;3;443;Grupo_178
44;4;444;Grupo_179
44;5;445;Grupo_180
44;6;446;Grupo_181
44;9;449;Grupo_182
45;0;450;Grupo_183
45;1;451;Grupo_184
45;2;452;Grupo_185
45;3;453;Grupo_186
45;4;454;Grupo_187
45;5;455;Grupo_188
45;6;456;Grupo_189
45;7;457;Grupo_190
45;8;458;Grupo_191
45;9;459;Grupo_192
47;1;471;Grupo_193
47;2;472;Grupo_194
47;4;474;Grupo_195
